Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,173,0,1827
2,77,0,1750
3,102,0,1648
4,163,0,1485
5,91,0,1394
6,185,0,1209
7,0,791,2000
8,129,0,1871
9,158,0,1713
10,76,0,1637
11,78,0,1559
12,79,0,1480
13,122,0,1358
14,0,642,2000
15,77,0,1923
16,8,0,1915
17,145,0,1770
18,70,0,1700
19,13,0,1687
20,113,0,1574
21,0,426,2000
22,39,0,1961
23,176,0,1785
24,9,0,1776
25,28,0,1748
26,50,0,1698
27,55,0,1643
28,0,357,2000
29,179,0,1821
30,72,0,1749
31,85,0,1664
32,73,0,1591
33,26,0,1565
34,10,0,1555
35,0,445,2000
36,98,0,1902
37,197,0,1705
38,30,0,1675
39,173,0,1502
40,132,0,1370
41,164,0,1206
42,0,794,2000
43,152,0,1848
44,70,0,1778
45,66,0,1712
46,72,0,1640
47,54,0,1586
48,185,0,1401
49,0,599,2000
